"country","averages","CountryCode"
"Argentina",86.7102631578947,"ARG"
"Armenia",87.5,"ARM"
"Australia",88.5805066552168,"AU1"
"Austria",90.1013452914798,"AUT"
"Bosnia and Herzegovina",86.5,"BIS"
"Brazil",84.6730769230769,"BRA"
"Bulgaria",87.936170212766,"BGR"
"Canada",89.3696498054475,"CAN"
"Chile",86.4935152057245,"CHL"
"China",89,"CH1"
"Croatia",87.2191780821918,"HRV"
"Cyprus",87.1818181818182,"CYP"
"Czech Republic",87.25,"CZE"
"Egypt",84,"EGY"
"England",91.5810810810811,"GRB"
"France",88.8451093106414,"FR1"
"Georgia",87.6860465116279,"SGS"
"Germany",89.8517321016166,"DEU"
"Greece",87.2832618025751,"GRC"
"Hungary",89.1917808219178,"HUN"
"India",90.2222222222222,"IND"
"Italy",88.5622313203685,"ITA"
"Luxembourg",88.6666666666667,"LUX"
"Macedonia",86.8333333333333,"MKD"
"Mexico",85.2571428571429,"MEX"
"Moldova",87.2033898305085,"MDA"
"Morocco",88.5714285714286,"MAR"
"New Zealand",88.3030303030303,"NZ1"
"Peru",83.5625,"PER"
"Portugal",88.2502196450536,"PRT"
"Romania",86.4,"ROU"
"Serbia",87.5,"SRB"
"Slovakia",87,"SVK"
"Slovenia",88.0689655172414,"SVN"
"South Africa",88.0563882940757,"ZAF"
"Spain",87.2883370955606,"ESP"
"Switzerland",88.5714285714286,"CHE"
"Turkey",88.0888888888889,"TUR"
"Ukraine",84.0714285714286,"UKR"
"Uruguay",86.7522935779816,"URY"
"US",88.5637200939381,"US1"
