"province","prices","point"
"Arizona",29.2,84.9268292682927
"California",39.0410480833149,88.6277760918145
"Colorado",32.9852941176471,86.1176470588235
"Connecticut",15.3333333333333,84
"Hawaii",28,87
"Idaho",20.7684210526316,86.5989583333333
"Illinois",32.3333333333333,84.5
"Iowa",15.5,83
"Kentucky",35,83
"Massachusetts",21.2857142857143,84.8571428571429
"Michigan",32.4324324324324,86.1052631578947
"Missouri",17.3333333333333,83.3333333333333
"Nevada",37.75,84.25
"New Jersey",25.5,84
"New Mexico",22.4222222222222,83.9555555555555
"New York",22.8262331838565,87.1785714285714
"North Carolina",21,84.5652173913043
"Ohio",13.75,84.0833333333333
"Oregon",36.5450643776824,89.0519262981575
"Pennsylvania",23.3333333333333,84.5555555555556
"Rhode Island",25,90
"Texas",25.6021505376344,85.2127659574468
"Vermont",31.6666666666667,84.3333333333333
"Virginia",27.012987012987,85.6113256113256
"Washington",32.4364441337528,88.947216112976
